Date,Campaign_ID,Campaign_Name,Campaign_Type,Channel,Age_Group,Gender,Device,Country,Customer_Segment,Impressions,Clicks,CTR,Spend_USD,CPC_USD,Conversions,Conversion_Rate,CPA_USD,Revenue_USD,ROAS
2024-01-04,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,65+,Female,Mobile,United States,New Customer,26480,443,0.0167,611.64,1.38,14,0.0316,43.69,993.86,1.62
2024-01-04,CMP-001,New Year Kickoff Sale,Conversion,Google Search,18-24,Female,Mobile,Germany,New Customer,1133,32,0.0282,69.58,2.17,1,0.0312,69.58,86.32,1.24
2024-01-04,CMP-001,New Year Kickoff Sale,Conversion,Google Search,65+,Female,Mobile,Germany,New Customer,2905,82,0.0282,178.4,2.18,2,0.0244,89.2,190.44,1.07
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Female,Mobile,Canada,Returning Customer,74112,2047,0.0276,102.33,0.05,49,0.0239,2.09,5427.89,53.04
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,35-44,Male,Mobile,United States,Returning Customer,36083,996,0.0276,49.82,0.05,24,0.0241,2.08,2939.69,59.01
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,18-24,Male,Mobile,Australia,Returning Customer,30392,839,0.0276,41.96,0.05,20,0.0238,2.1,1455.62,34.69
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,55-64,Female,Mobile,United States,Returning Customer,5617,53,0.0094,73.6,1.39,1,0.0189,73.6,117.02,1.59
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,18-24,Male,Mobile,Canada,Returning Customer,7318,70,0.0096,95.87,1.37,2,0.0286,47.94,145.44,1.52
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Male,Desktop,Australia,Returning Customer,6857,65,0.0095,89.84,1.38,1,0.0154,89.84,134.14,1.49
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,25-34,Male,Desktop,United Kingdom,Returning Customer,177312,193,0.0011,106.89,0.55,3,0.0155,35.63,348.51,3.26
2024-01-04,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,45-54,Female,Desktop,United States,Returning Customer,598430,651,0.0011,360.76,0.55,9,0.0138,40.08,528.02,1.46
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,35-44,Male,Desktop,United Kingdom,New Customer,32753,612,0.0187,89.91,0.15,28,0.0458,3.21,2200.96,24.48
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Male,Desktop,United States,New Customer,39160,732,0.0187,107.5,0.15,33,0.0451,3.26,3485.49,32.42
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,55-64,Male,Mobile,France,New Customer,22152,414,0.0187,60.81,0.15,19,0.0459,3.2,1643.58,27.03
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Male,Mobile,United Kingdom,New Customer,7525,105,0.014,79.53,0.76,3,0.0286,26.51,211.52,2.66
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,55-64,Female,Desktop,United States,New Customer,5633,79,0.014,59.54,0.75,2,0.0253,29.77,188.54,3.17
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Male,Mobile,United States,New Customer,5324,75,0.0141,56.28,0.75,2,0.0267,28.14,214.85,3.82
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Google Search,18-24,Male,Mobile,United States,New Customer,11866,503,0.0424,624.4,1.24,25,0.0497,24.98,1986.57,3.18
2024-01-05,CMP-001,New Year Kickoff Sale,Conversion,Google Search,25-34,Female,Mobile,United States,New Customer,15767,669,0.0424,829.66,1.24,34,0.0508,24.4,2889.12,3.48
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Female,Mobile,Australia,Returning Customer,27963,476,0.017,81.84,0.17,42,0.0882,1.95,3002.1,36.68
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Male,Tablet,Canada,Returning Customer,46521,791,0.017,136.16,0.17,70,0.0885,1.95,7375.79,54.17
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,65+,Female,Desktop,France,New Customer,29713,505,0.017,86.97,0.17,45,0.0891,1.93,4653.08,53.5
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,45-54,Male,Mobile,United Kingdom,New Customer,6478,155,0.0239,122.91,0.79,3,0.0194,40.97,255.62,2.08
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,45-54,Female,Mobile,United States,New Customer,6239,149,0.0239,118.38,0.79,3,0.0201,39.46,212.76,1.8
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,35-44,Female,Desktop,Canada,Returning Customer,8420,201,0.0239,159.77,0.79,4,0.0199,39.94,490.15,3.07
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,25-34,Male,Mobile,Australia,Returning Customer,10588,90,0.0085,99.31,1.1,0,0.0,0.0,25.16,0.25
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Male,Mobile,United States,Returning Customer,10044,85,0.0085,94.21,1.11,0,0.0,0.0,23.69,0.25
2024-01-05,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,18-24,Female,Desktop,United States,Returning Customer,6743,57,0.0085,63.25,1.11,0,0.0,0.0,9.13,0.14
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Female,Mobile,Australia,Returning Customer,87861,2629,0.0299,420.23,0.16,116,0.0441,3.62,12661.7,30.13
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Female,Desktop,United States,New Customer,151797,4542,0.0299,726.03,0.16,200,0.044,3.63,20304.51,27.97
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,35-44,Male,Mobile,Australia,New Customer,58269,945,0.0162,342.66,0.36,21,0.0222,16.32,2299.82,6.71
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Female,Mobile,United States,New Customer,19997,324,0.0162,117.59,0.36,7,0.0216,16.8,663.05,5.64
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Male,Desktop,United Kingdom,Returning Customer,10541,171,0.0162,61.99,0.36,4,0.0234,15.5,313.55,5.06
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Google Search,35-44,Female,Desktop,United States,New Customer,3150,131,0.0416,351.17,2.68,7,0.0534,50.17,525.97,1.5
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Google Search,45-54,Male,Mobile,France,New Customer,314,13,0.0414,34.96,2.69,1,0.0769,34.96,75.86,2.17
2024-01-06,CMP-001,New Year Kickoff Sale,Conversion,Google Search,65+,Female,Desktop,United Kingdom,Returning Customer,885,37,0.0418,98.66,2.67,2,0.0541,49.33,97.13,0.98
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,35-44,Female,Mobile,Canada,Returning Customer,71939,1762,0.0245,295.98,0.17,63,0.0358,4.7,5574.65,18.83
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Male,Mobile,Australia,New Customer,15096,370,0.0245,62.11,0.17,13,0.0351,4.78,1503.61,24.21
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Female,Desktop,United States,Returning Customer,4420,63,0.0143,83.32,1.32,2,0.0317,41.66,119.91,1.44
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,18-24,Female,Mobile,United States,Returning Customer,3565,51,0.0143,67.2,1.32,1,0.0196,67.2,106.96,1.59
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Male,Desktop,Canada,Returning Customer,24917,107,0.0043,102.99,0.96,0,0.0,0.0,7.53,0.07
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Female,Mobile,France,Returning Customer,27029,116,0.0043,111.72,0.96,0,0.0,0.0,14.99,0.13
2024-01-06,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Male,Mobile,Australia,Returning Customer,19314,83,0.0043,79.83,0.96,0,0.0,0.0,3.93,0.05
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Female,Mobile,United States,Returning Customer,54155,1384,0.0256,306.69,0.22,81,0.0585,3.79,4517.95,14.73
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,25-34,Male,Mobile,United States,New Customer,36024,920,0.0255,204.01,0.22,54,0.0587,3.78,4339.49,21.27
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Male,Tablet,United States,Returning Customer,12807,121,0.0094,189.98,1.57,3,0.0248,63.33,274.11,1.44
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,65+,Male,Mobile,United Kingdom,Returning Customer,21764,206,0.0095,322.85,1.57,5,0.0243,64.57,576.75,1.79
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,35-44,Female,Mobile,United States,New Customer,36557,346,0.0095,542.3,1.57,9,0.026,60.26,707.92,1.31
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Google Search,25-34,Male,Mobile,United States,New Customer,2813,98,0.0348,233.22,2.38,5,0.051,46.64,428.09,1.84
2024-01-07,CMP-001,New Year Kickoff Sale,Conversion,Google Search,35-44,Male,Mobile,Australia,New Customer,3885,135,0.0347,322.11,2.39,7,0.0519,46.02,870.33,2.7
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,45-54,Male,Mobile,United Kingdom,Returning Customer,101281,3599,0.0355,196.31,0.05,61,0.0169,3.22,6398.36,32.59
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,45-54,Male,Mobile,United Kingdom,Returning Customer,82154,2919,0.0355,159.23,0.05,49,0.0168,3.25,3858.19,24.23
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,35-44,Female,Desktop,United States,New Customer,2688,51,0.019,81.6,1.6,1,0.0196,81.6,150.45,1.84
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,18-24,Male,Mobile,United States,New Customer,1497,28,0.0187,45.43,1.62,1,0.0357,45.43,76.76,1.69
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,45-54,Female,Desktop,Canada,Returning Customer,12136,41,0.0034,34.82,0.85,0,0.0,0.0,23.36,0.67
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Female,Mobile,United Kingdom,Returning Customer,31644,108,0.0034,90.79,0.84,1,0.0093,90.79,58.02,0.64
2024-01-07,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,25-34,Female,Mobile,France,Returning Customer,53411,182,0.0034,153.24,0.84,1,0.0055,153.24,108.45,0.71
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Unknown/Other,Desktop,Canada,Returning Customer,197237,4850,0.0246,376.37,0.08,262,0.054,1.44,29896.33,79.43
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Male,Mobile,United Kingdom,Returning Customer,335037,8239,0.0246,639.32,0.08,444,0.0539,1.44,50347.53,78.75
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,65+,Unknown/Other,Mobile,Australia,New Customer,18869,165,0.0087,196.54,1.19,3,0.0182,65.51,245.31,1.25
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,18-24,Female,Desktop,United States,New Customer,23515,206,0.0088,244.92,1.19,4,0.0194,61.23,249.05,1.02
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,18-24,Male,Mobile,United States,New Customer,13463,118,0.0088,140.22,1.19,2,0.0169,70.11,171.39,1.22
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Google Search,55-64,Male,Mobile,Canada,New Customer,601,22,0.0366,38.8,1.76,1,0.0455,38.8,89.33,2.3
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Google Search,55-64,Male,Mobile,United States,New Customer,764,28,0.0366,49.3,1.76,1,0.0357,49.3,97.88,1.99
2024-01-08,CMP-001,New Year Kickoff Sale,Conversion,Google Search,35-44,Female,Mobile,United States,New Customer,975,36,0.0369,62.91,1.75,2,0.0556,31.46,177.76,2.83
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,Google Display,45-54,Male,Mobile,United Kingdom,New Customer,24317,120,0.0049,77.72,0.65,1,0.0083,77.72,57.41,0.74
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,Google Display,55-64,Male,Mobile,United Kingdom,New Customer,33561,166,0.0049,107.27,0.65,1,0.006,107.27,50.07,0.47
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,Google Display,35-44,Male,Mobile,United States,New Customer,35807,177,0.0049,114.45,0.65,1,0.0056,114.45,78.35,0.68
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,LinkedIn Ads,55-64,Female,Mobile,United States,Returning Customer,1805,10,0.0055,68.72,6.87,0,0.0,0.0,13.56,0.2
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,LinkedIn Ads,25-34,Female,Desktop,United Kingdom,New Customer,2493,13,0.0052,94.92,7.3,0,0.0,0.0,15.9,0.17
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,LinkedIn Ads,35-44,Unknown/Other,Mobile,United States,Returning Customer,2194,12,0.0055,83.52,6.96,0,0.0,0.0,17.53,0.21
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,YouTube Ads,25-34,Female,Mobile,United States,Returning Customer,54530,344,0.0063,166.67,0.48,5,0.0145,33.33,233.8,1.4
2024-01-08,CMP-005,Brand Awareness Q1,Awareness,YouTube Ads,55-64,Female,Desktop,Australia,Returning Customer,166891,1051,0.0063,510.09,0.49,15,0.0143,34.01,723.45,1.42
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,18-24,Female,Mobile,United States,Returning Customer,106605,2008,0.0188,180.82,0.09,37,0.0184,4.89,4023.9,22.25
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,18-24,Female,Desktop,Canada,Returning Customer,29483,555,0.0188,50.01,0.09,10,0.018,5.0,1313.67,26.27
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Male,Mobile,United States,Returning Customer,5216,90,0.0173,84.1,0.93,1,0.0111,84.1,105.01,1.25
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,35-44,Male,Mobile,United Kingdom,Returning Customer,6015,104,0.0173,96.99,0.93,1,0.0096,96.99,124.73,1.29
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Male,Desktop,Germany,Returning Customer,8625,149,0.0173,139.05,0.93,2,0.0134,69.53,194.25,1.4
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,18-24,Male,Tablet,United States,Returning Customer,218347,175,0.0008,108.18,0.62,2,0.0114,54.09,155.31,1.44
2024-01-08,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Female,Mobile,Canada,Returning Customer,360759,289,0.0008,178.74,0.62,3,0.0104,59.58,380.05,2.13
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,55-64,Male,Mobile,Canada,Returning Customer,18586,429,0.0231,90.26,0.21,11,0.0256,8.21,618.88,6.86
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,25-34,Female,Mobile,Germany,New Customer,15600,360,0.0231,75.76,0.21,9,0.025,8.42,851.23,11.24
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,25-34,Male,Mobile,France,Returning Customer,6519,150,0.023,31.66,0.21,4,0.0267,7.92,362.78,11.46
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,45-54,Female,Mobile,United States,New Customer,19101,305,0.016,394.57,1.29,3,0.0098,131.52,217.33,0.55
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,45-54,Male,Desktop,Canada,New Customer,26926,430,0.016,556.21,1.29,4,0.0093,139.05,347.48,0.62
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,55-64,Male,Mobile,United States,New Customer,10377,166,0.016,214.36,1.29,2,0.012,107.18,114.96,0.54
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Google Search,18-24,Male,Mobile,Canada,Returning Customer,5308,83,0.0156,135.62,1.63,5,0.0602,27.12,363.31,2.68
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Google Search,18-24,Male,Mobile,France,New Customer,5595,88,0.0157,142.97,1.62,6,0.0682,23.83,408.11,2.85
2024-01-09,CMP-001,New Year Kickoff Sale,Conversion,Google Search,35-44,Female,Mobile,United States,New Customer,5976,94,0.0157,152.7,1.62,6,0.0638,25.45,296.51,1.94
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,Google Display,25-34,Female,Mobile,United States,New Customer,122658,434,0.0035,360.06,0.83,7,0.0161,51.44,258.65,0.72
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,Google Display,45-54,Female,Mobile,United States,New Customer,71741,254,0.0035,210.59,0.83,4,0.0157,52.65,161.29,0.77
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,Google Display,25-34,Male,Mobile,Canada,New Customer,5522,20,0.0036,16.21,0.81,0,0.0,0.0,11.63,0.72
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,LinkedIn Ads,18-24,Male,Tablet,United States,Returning Customer,4751,33,0.0069,154.76,4.69,1,0.0303,154.76,43.4,0.28
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,LinkedIn Ads,45-54,Male,Mobile,France,Returning Customer,3662,26,0.0071,119.28,4.59,1,0.0385,119.28,32.36,0.27
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,LinkedIn Ads,35-44,Male,Mobile,United States,Returning Customer,931,6,0.0064,30.34,5.06,0,0.0,0.0,5.79,0.19
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,YouTube Ads,35-44,Unknown/Other,Desktop,United States,New Customer,33814,147,0.0043,83.06,0.57,2,0.0136,41.53,68.79,0.83
2024-01-09,CMP-005,Brand Awareness Q1,Awareness,YouTube Ads,45-54,Female,Desktop,United States,New Customer,120509,523,0.0043,296.02,0.57,6,0.0115,49.34,282.26,0.95
2024-01-09,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Male,Mobile,United States,Returning Customer,41888,1168,0.0279,182.57,0.16,64,0.0548,2.85,7841.35,42.95
2024-01-09,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,18-24,Female,Desktop,United States,Returning Customer,64479,1798,0.0279,281.04,0.16,99,0.0551,2.84,8477.85,30.17
2024-01-09,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,65+,Male,Mobile,Canada,Returning Customer,8317,80,0.0096,99.79,1.25,1,0.0125,99.79,154.77,1.55
